rating,long,place,address,lat,type
4.5,1.5218355,"

Hesperia Andorra la Vella
","Avinguda Doctor Mitjavila, 1 | Rotonda, Andorra la Vella AD500, Andorra ",42.5063174,hotel
4.5,1.5227462,"

Andorra Park Hotel
","C. Les Canals, 24, Andorra la Vella AD500, Andorra ",42.5092791,hotel
4.0,1.5197141,"

Holiday Inn Andorra
","C/ Prat de la Creu 88, Andorra la Vella AD500, Andorra (Formerly Crowne Plaza Andorra)",42.5057102,hotel
4.5,1.5325492,"

Hotel Plaza
","C/ Na Maria Pla 19-21, Andorra la Vella AD500, Andorra ",42.5069403,hotel
4.5,1.6660487,"

Sport Hotel Hermitage & Spa
","Crta General s/n, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.526445,"

Hotel Acta Arthotel
","Prat de la Creu 15 - 25, Andorra la Vella AD500, Andorra ",42.5070735,hotel
4.0,1.4818459,"

Hotel Princesa Parc
","Carretera General d'Arinsal, Arinsal AD400, Andorra ",42.5748011,hotel
3.5,1.5264444,"

Hotel Mercure
","Carrer de la Roda, Andorra la Vella AD500, Andorra ",42.5077704,hotel
4.0,1.5196841,"

Hotel Pyrenees
","Av. Princep Benlloch 20, Andorra la Vella AD500, Andorra ",42.5074024,hotel
4.0,1.5275458,"

Novotel Andorra
","Prat de la Creu s/n 011, Andorra la Vella AD500, Andorra ",42.5075002,hotel
4.0,1.5251894,"

Hotel De L'Isard
","Av Meritxell 34, Andorra la Vella AD500, Andorra ",42.5079499,hotel
4.0,1.5994581,"

Ski Plaza Hotel
","Ctra General s/n, Canillo AD100, Andorra ",42.5666535,hotel
4.0,1.5313585,"

Centric Atiram Hotel
","Av. Meritxell 87-89, Andorra la Vella AD500, Andorra ",42.5083191,hotel
4.5,1.6660487,"

Sport Hotel Village
","Ctra. General s/n, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.6511742,"

Hotel Nordic
","Carreterra General s/n | Prat De L'Obac, Sant Pere Del Tarter, El Tarter AD100, Andorra ",42.5801488,hotel
5.0,1.7002186,"

Grau Roig Andorra Boutique Hotel & Spa
","Grau Roig Sector | Ski Resort Granvalira, Grau Roig AD200, Andorra ",42.5324162,hotel
4.5,1.7328467,"

Kandahar Hotel
","C/ Bearn, 5, Pas de la Casa AD200, Andorra ",42.5416243,hotel
4.0,1.4818459,"

Xalet Verdu Hotel
","Prat de Verdu - Carretera General, Arinsal AD400, Andorra ",42.5748011,hotel
4.0,,"

Hotel Piolets Park & Spa
","Carretera General, s/n, Soldeu 100, Andorra ",,hotel
4.0,1.6660487,"

Himalaia Soldeu
","Ctra. Canillo Soldeu, s.n, Soldeu AD100, Andorra ",42.577791,hotel
4.0,1.5247768,"

Hotel Eurostars Andorra Centre
","Avinguda Meritxell, 23, Andorra la Vella AD500, Andorra ",42.5080312,hotel
4.0,1.7308106,"

Hotel Himalaia Pas
","Calle de la Solana, 51, Pas de la Casa AD200, Andorra ",42.5409996,hotel
4.5,1.5901742,"

Hotel L'Ermita
","Ctra de Meritxell, Meritxell, Canillo AD100, Andorra ",42.5531002,hotel
3.5,1.6511742,"

Hotel Llop Gris
","Cami Del Pont Del Tarter, Prat De La Mestranca, El Tarter AD100, Andorra ",42.5801488,hotel
5.0,1.7347695,"

Hotel Les Truites
","C/Dels Pareatges, 8, Pas de la Casa AD200, Andorra ",42.5430553,hotel
4.0,1.5385558,"

Hotel Exe Prisma
","Avinguda del Fener, 14, Escaldes-Engordany AD700, Andorra ",42.5082311,hotel
4.5,1.6511742,"

Hotel del Tarter
","Crta. Nacional 2, El Tarter AD100, Andorra ",42.5801488,hotel
