2,Grandvalira Ski Resort," Address: Av. Carlemany 68 | Illa Carlemany Offices, Bureau 401, Andorra la Vella AD700, Andorra 
",attraction,0.0,0.0,4.5,1,513
3,"Vallnord Ski Area, Sector Arinsal"," Address: Av. Traves, 2 - Edf Casa Casa Ferre 10, Arinsal AD400, Andorra 
",attraction,42.5748,1.48185,4.0,513,711
4,Casa de la Vall," Address: Carrer de la Vall s/n, Andorra la Vella AD500, Andorra 
",attraction,42.5063,1.52184,4.5,711,836
5,Soldeu el Tarter," Address: Soldeu, Andorra 

",attraction,42.5778,1.66605,4.5,836,960
6,Lagos de Tristania," Address: El Serrat, Andorra 

",attraction,0.0,0.0,5.0,960,1016
7,Tristaina Lake Trail," Address: La Coma | Nr. Vallnort Ski Resort, Arcalis, Arinsal, Andorra 

",attraction,42.5748,1.48185,4.5,1016,1066
8,Santuario de Meritxell," Address: Ctra. General, Meritxell, Canillo AD100, Andorra 
",attraction,42.5557,1.59036,4.0,1066,1158
9,Tobotronc," Address: Sant Julia de Loria, AD600, Andorra 

",attraction,42.4658,1.49213,4.0,1158,1313
10,Soldeu Ski School," Address: Main Street, Soldeu, Andorra 

",attraction,42.5778,1.66605,4.5,1313,1321
11,Valle de Incles," Address: Incles, Andorra 

",attraction,0.0,0.0,4.5,1321,1361
12,National Automobile Museum," Address: Av. de Joan Marti, 64, Encamp AD200, Andorra 
",attraction,42.533,1.57792,4.5,1361,1403
13,Sant Joan de Caselles," Address: Ctra. General 2, s/n, Canillo AD100, Andorra 
",attraction,42.5667,1.59946,4.5,1403,1453
14,Naturlandia," Address: Ctra. De la Rabassa, Km 8 | Juberri, Sant Julia de Loria, Andorra 

",attraction,42.441,1.48576,3.5,1453,1852
15,Engolasters Lake-Les Pardines Path," Address: Engolasters Lake, Encamp, Andorra 

",attraction,42.5363,1.58302,4.5,1852,1900
16,Sant Esteve Church," Address: Plaza Princep Benlloch, Andorra la Vella AD500, Andorra 
",attraction,42.5062,1.51811,4.0,1900,1951
17,Santa Coloma Church," Address: Santa Coloma AD500, Andorra 

",attraction,42.4952,1.49848,4.5,1951,2009
18,Esglesia de Sant Serni de Llorts," Address: Llorts AD300, Andorra 

",attraction,42.5964,1.52676,5.0,2009,2009
19,Tobacco Museum," Address: Carrer del Doctor Palau, 17, Sant Julia de Loria AD700, Andorra 
",attraction,0.0,0.0,4.5,2009,2029
20,Museu Casa dAreny-Plandolit," Address: Carrer Major- Casa dAreny-Plandolit, Ordino AD 300, Andorra 
",attraction,0.0,0.0,4.5,2029,2057
21,Sola Irrigation Canal Trail," Address: Nr. Sant Antoni de la Grella Church, Andorra la Vella, Andorra 

",attraction,42.5063,1.52184,4.5,2057,2073
22,Placa del Poble," Address: Andorra la Vella, Andorra 

",attraction,42.5063,1.52184,4.0,2073,2102
23,Madriu-Perafita-Claror Valley," Address: Escaldes-Engordany AD700 , Andorra 

",attraction,42.5101,1.53879,5.0,2102,2120
24,Engolasters Lake Trail," Address: Nr. National Automobile Museum, Encamp, Andorra 

",attraction,42.5363,1.58302,4.5,2120,2134
25,Ice Palace of Andorra," Address: Ctra. General, Canillo AD100 , Andorra 
",attraction,42.5667,1.59946,4.0,2134,2172
26,Motorcycle Museum," Address: Ctra. General 2 s/n (al lado de Sant Joan de Caselles), Canillo AD100, Andorra 
",attraction,42.5667,1.59946,4.5,2172,2196
27,Sant Miquel dEngolasters," Address: Ctra CS 200, AD700, Andorra 

",attraction,42.5109,1.55953,4.5,2196,2226
28,Vallnord Bike Park," Address: Av. Traves, 2 - Edf Casa Casa Ferre 10, Arinsal AD400, Andorra 
",attraction,42.5748,1.48185,4.5,2226,2240
29,Miniature Museum," Address: Edifici Maragda, Ordino AD300, Andorra 
",attraction,42.5557,1.53307,4.5,2240,2263
30,Casa de la Calle," Address: Andorra la Vella, Andorra 

",attraction,42.5063,1.52184,4.0,2263,2293
31,Cca - Centre Comercial Andorra," Address: Av Meritxell 92, Andorra la Vella AD500, Andorra 
",attraction,42.5082,1.53034,4.0,2293,2317
32,Hesperia Andorra la Vella," Avinguda Doctor Mitjavila, 1 | Rotonda, Andorra la Vella AD500, Andorra 
",hotel,42.5063,1.52184,4.5,1,593
33,Andorra Park Hotel," C. Les Canals, 24, Andorra la Vella AD500, Andorra 
",hotel,42.5093,1.52275,4.5,593,1149
34,Hotel Plaza," C/ Na Maria Pla 19-21, Andorra la Vella AD500, Andorra 
",hotel,42.5069,1.53255,4.5,1149,1537
35,Holiday Inn Andorra," C/ Prat de la Creu 88, Andorra la Vella AD500, Andorra (Formerly Crowne Plaza Andorra)
",hotel,42.5057,1.51971,4.0,1537,2076
36,Hotel Acta Arthotel," Prat de la Creu 15 - 25, Andorra la Vella AD500, Andorra 
",hotel,42.5071,1.52645,4.0,2076,2594
37,Hotel Princesa Parc," Carretera General dArinsal, Arinsal AD400, Andorra 
",hotel,42.5748,1.48185,4.0,2594,3202
