59,LEscenari de Pizzes," AD 500 | Av. Dr. Mitjavila 19, Andorra la Vella AD 500, Andorra ",restaurant,42.5098,1.53108,4.5,1,339
60,El Crosto," Cap Del Carrer, 7 | Baixos, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,339,570
61,Versailles," Carrer del Cap, 1, Andorra la Vella, Andorra ",restaurant,42.5079,1.52209,4.5,570,736
62,Restaurant Eximi," Carrer De La Llacuna, 5, Andorra la Vella AD500, Andorra ",restaurant,42.5082,1.52245,4.5,736,1102
63,Platin," Carrer Bonaventura Riberaygua, 8 | Carrer Bonaventura Riberaygua, 8, Andorra la Vella AD500, Andorra ",restaurant,42.5074,1.53173,4.5,1102,1289
64,And Burger Zero," Cap del carrer, Andorra la Vella, Andorra ",restaurant,42.508,1.5223,4.0,1289,1583
65,Bodega Poblet," Carrer de lAlzinaret 6 | AD500, Andorra la Vella, Andorra ",restaurant,42.5088,1.52132,4.5,1583,1757
66,Bufet El Grill," Avenida Meritxell, 11, Andorra la Vella AD500, Andorra ",restaurant,42.5079,1.52368,4.0,1757,1860
67,Restaurant Coma," Placeta Monjo n 3, Andorra la Vella ad500, Andorra ",restaurant,42.5069,1.52078,4.5,1860,1904
68,Taberna Angel Belmonte," C.Ciutat de Consuegra, 3, | Casa Campolier, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.0,1904,2077
69,Pizzeria Primavera," C/ Callaueta 8, Andorra la Vella, Andorra ",restaurant,42.507,1.52999,4.0,2077,2215
70,Can Manel," C/ Mestre Xavier Plana, 6, Andorra la Vella, Andorra ",restaurant,42.5064,1.51534,4.5,2215,2319
71,La Adelita Andorra," Placa Princep Benlloc 4, Andorra la Vella Ad500, Andorra ",restaurant,42.5078,1.52194,4.0,2319,2450
72,La Cava Andorra," C/ Mossen Cinto Verdaguer, 7, Andorra la Vella 822729, Andorra ",restaurant,42.5083,1.52194,4.5,2450,2554
73,Restaurant Ca La Conxita," c/ La Llacuna, 12 | c/ La Llacuna, 12, Andorra la Vella, Parroquia de Andorra la Vella, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,2554,2619
74,Borda Estevet," Carretera de la Comella 2, Andorra la Vella AD500, Andorra ",restaurant,42.503,1.51985,4.0,2619,2892
75,El Burg," Baixada Del Moli, N 47 | Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5046,1.51511,4.5,2892,2950
76,The Family Arms," Placa Rebes, 6 | Placa Rebes, 6, Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5075,1.52294,4.0,2950,3062
77,l Arrosseria," Carrer de la Vall, 1, Andorra la Vella AD500, Andorra ",restaurant,42.5072,1.52142,4.0,3062,3194
78,K LIRINA," carrer PERE DURG NUMER 5 | Carrer Pere Durg Numero 16, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.5,3194,3230
79,El Refugi Alpi," Avinguda Meritxell, 73, Andorra la Vella AD500, Andorra ",restaurant,42.5089,1.52915,3.5,3230,3682
80,"13,50"," Prat de la Creu 29-39, Andorra la Vella AD500, Andorra ",restaurant,42.507,1.52608,5.0,3682,3708
81,El Raval," C. Sant Esteve, 5, Andorra la Vella AD 500 , Andorra ",restaurant,42.5076,1.5292,4.5,3708,3734
82,Restaurant Tatu," Avinguda de Tarragona, 58, Andorra la Vella AD500, Andorra ",restaurant,42.5052,1.52539,4.5,3734,3759
83,1940," Avinguda Princep Benlloch 20 bis | Free Parking Behind, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.0,3759,3880
84,Pizzera Angelo," C/ Maria Pla, 13, Andorra la Vella, Andorra ",restaurant,42.5073,1.53308,4.0,3880,4010
85,Vietnam Gourmet," Carrer Joan Maragall, 22, Andorra la Vella AD500, Andorra ",restaurant,42.5066,1.53066,4.5,4010,4037
86,Minims," C/ Antic Carrer Major 5, Andorra la Vella, Andorra ",restaurant,42.5072,1.52075,4.0,4037,4101
87,Restaurant Plaza at Hotel Plaza," C. Maria Pla, 19-21, Andorra la Vella AD500, Andorra ",restaurant,42.5069,1.53255,4.0,4101,4135
88,Plato Restaurant," Calle Prat de la Creu, 15-25 | C. Prat De La Creu, 15-25, Andorra la Vella AD500, Andorra ",restaurant,42.5071,1.52645,4.0,4135,4196
89,LEscenari de Pizzes," AD 500 | Av. Dr. Mitjavila 19, Andorra la Vella AD 500, Andorra ",restaurant,42.5098,1.53108,4.5,4196,4534
90,El Crosto," Cap Del Carrer, 7 | Baixos, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,4534,4765
91,Versailles," Carrer del Cap, 1, Andorra la Vella, Andorra ",restaurant,42.5079,1.52209,4.5,4765,4931
92,Restaurant Eximi," Carrer De La Llacuna, 5, Andorra la Vella AD500, Andorra ",restaurant,42.5082,1.52245,4.5,4931,5307
93,Platin," Carrer Bonaventura Riberaygua, 8 | Carrer Bonaventura Riberaygua, 8, Andorra la Vella AD500, Andorra ",restaurant,42.5074,1.53173,4.5,5307,5494
94,And Burger Zero," Cap del carrer, Andorra la Vella, Andorra ",restaurant,42.508,1.5223,4.0,5494,5789
95,Bodega Poblet," Carrer de lAlzinaret 6 | AD500, Andorra la Vella, Andorra ",restaurant,42.5088,1.52132,4.5,5789,5963
96,Bufet El Grill," Avenida Meritxell, 11, Andorra la Vella AD500, Andorra ",restaurant,42.5079,1.52368,4.0,5963,6236
97,Restaurant Coma," Placeta Monjo n 3, Andorra la Vella ad500, Andorra ",restaurant,42.5069,1.52078,4.5,6236,6280
98,Taberna Angel Belmonte," C.Ciutat de Consuegra, 3, | Casa Campolier, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.0,6280,6453
99,Pizzeria Primavera," C/ Callaueta 8, Andorra la Vella AD500, Andorra ",restaurant,42.507,1.52999,4.0,6453,6593
100,Can Manel," C/ Mestre Xavier Plana, 6, Andorra la Vella, Andorra ",restaurant,42.5064,1.51534,4.5,6593,6697
101,La Adelita Andorra," Placa Princep Benlloc 4, Andorra la Vella Ad500, Andorra ",restaurant,42.5078,1.52194,4.0,6697,6828
102,La Cava Andorra," C/ Mossen Cinto Verdaguer, 7, Andorra la Vella 822729, Andorra ",restaurant,42.5083,1.52194,4.5,6828,6932
103,Restaurant Ca La Conxita," c/ La Llacuna, 12 | c/ La Llacuna, 12, Andorra la Vella, Parroquia de Andorra la Vella, Andorra la Vella, Andorra ",restaurant,42.5063,1.52184,4.5,6932,6997
104,Borda Estevet," Carretera de la Comella 2, Andorra la Vella AD500, Andorra ",restaurant,42.503,1.51985,4.0,6997,7270
105,El Burg," Baixada Del Moli, N 47 | Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5046,1.51511,4.5,7270,7328
106,The Family Arms," Placa Rebes, 6 | Placa Rebes, 6, Andorra la Vella, Andorra la Vella AD500, Andorra ",restaurant,42.5075,1.52294,4.0,7328,7440
107,l Arrosseria," Carrer de la Vall, 1, Andorra la Vella AD500, Andorra ",restaurant,42.5072,1.52142,4.0,7440,7572
108,K LIRINA," carrer PERE DURG NUMER 5 | Carrer Pere Durg Numero 16, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.5,7572,7608
109,El Refugi Alpi," Avinguda Meritxell, 73, Andorra la Vella AD500, Andorra ",restaurant,42.5089,1.52915,3.5,7608,8060
110,"13,50"," Prat de la Creu 29-39, Andorra la Vella AD500, Andorra ",restaurant,42.507,1.52608,5.0,8060,8086
111,El Raval," C. Sant Esteve, 5, Andorra la Vella AD 500 , Andorra ",restaurant,42.5076,1.5292,4.5,8086,8112
112,Restaurant Tatu," Avinguda de Tarragona, 58, Andorra la Vella AD500, Andorra ",restaurant,42.5052,1.52539,4.5,8112,8137
113,1940," Avinguda Princep Benlloch 20 bis | Free Parking Behind, Andorra la Vella AD500, Andorra ",restaurant,42.5063,1.52184,4.0,8137,8258
114,Pizzera Angelo," C/ Maria Pla, 13, Andorra la Vella, Andorra ",restaurant,42.5073,1.53308,4.0,8258,8388
115,Vietnam Gourmet," Carrer Joan Maragall, 22, Andorra la Vella AD500, Andorra ",restaurant,42.5066,1.53066,4.5,8388,8415
116,Minims," C/ Antic Carrer Major 5, Andorra la Vella, Andorra ",restaurant,42.5072,1.52075,4.0,8415,8479
