ListingID,Title,UserID,baseurl,Price,AboutListing,HostName,MemberDate,Lat,Long,BookInstantly,Cancellation,OverallCounter,PageCounter,PageNumber,A_AC,A_Breakfast,A_CableTV,A_CarbonMonoxDetector,A_Doorman,A_Dryer,A_TV,A_Elevator,A_Essentials,A_Events,A_FamilyFriendly,A_FireExt,A_Fireplace,A_FirstAidKit,A_Gym,A_Heat,A_HotTub,A_Intercom,A_Internet,A_Kitchen,A_Parking,A_Pets,A_Pool,A_SafetyCard,A_Shampoo,A_SmokeDetector,A_Smoking,A_Washer,A_Wheelchair,P_Cleaning,P_Deposit,P_ExtraPeople,P_Monthly,P_Weekly,R_CI,R_acc,R_clean,R_comm,R_loc,R_val,RespRate,RespTime,S_Accomodates,S_Bathrooms,S_BedType,S_Bedrooms,S_CheckIn,S_Checkout,S_NumBeds,S_PropType,ShortDesc
11511373,Warm and cozy room in Andorra,60656892,https://www.airbnb.com/s/Andorra?page=1,29,No Description Found,Eugeni,Not Found,42.507795694533144,1.5193269609647007,No,Flexible,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$6.00,Not Found,$14 / night after the first guest,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Real Bed,1,Not Found,Not Found,1,Apartment,
7721941,Comfortable room in the center,32962821,https://www.airbnb.com/s/Andorra?page=1,52,No Description Found,Monique,Not Found,42.51175626158212,1.538697186589854,No,Moderate,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,$173.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1.5,Real Bed,1,3:00 PM,11:00 AM,1,Apartment,
2688961,Estudio para 3 personas /  WIFI .,4145741,https://www.airbnb.com/s/Andorra?page=1,52,No Description Found,Marc,Not Found,42.53496839108761,1.5789559622919969,No,Strict,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Not Found,1,3:00 AM,12:00 PM (noon),2,Apartment,
8546314,"Penthouse Andorra, Escaldes bg",42935899,https://www.airbnb.com/s/Andorra?page=1,29,No Description Found,Aliena,Not Found,42.51266564020056,1.5335721884086915,No,Flexible,4,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,$6.00,Not Found,$12 / night after 2 guests,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,3,1,Real Bed,1,Not Found,Not Found,1,Apartment,
133792,Cozy 1 bedroom apt with fireplace,656777,https://www.airbnb.com/s/Andorra?page=1,57,No Description Found,Pere,Not Found,42.582978662405594,1.5187953130091216,No,Moderate,5,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$23.00,$115.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,0,Real Bed,1,Not Found,Not Found,1,Apartment,
11878261,Bunk bed in a small room,63334866,https://www.airbnb.com/s/Andorra?page=1,26,No Description Found,David,Not Found,42.46077528385369,1.48742996716406,No,Flexible,6,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,1,Not Found,1,Not Found,Not Found,2,Bed & Breakfast,
1871031,Andorra's Balcony Wifi,9750905,https://www.airbnb.com/s/Andorra?page=1,57,No Description Found,Jordi,Not Found,42.514093900183234,1.5378387735668577,No,Strict,7,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,$29.00,$173.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,4,1,Not Found,1,3:00 PM,12:00 PM (noon),2,Apartment,
4444041,"Apartment Ordino, Vallnord",9117065,https://www.airbnb.com/s/Andorra?page=1,71,No Description Found,Sarah,Not Found,42.57704648435728,1.5195791853157343,No,Moderate,8,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,$46.00,$288.00,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,5,2,Not Found,3,5:00 PM,11:00 AM,5,Apartment,
10472938,Apartamentos Velvet,53971155,https://www.airbnb.com/s/Andorra?page=1,92,No Description Found,Tanya,Not Found,42.57951038811059,1.481337174315959,No,Flexible,9,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,5,1,Not Found,1,Not Found,Not Found,5,Apartment,
8943937,Apartamento en Ordino,46752894,https://www.airbnb.com/s/Andorra?page=1,161,No Description Found,Ignacio,Not Found,42.55563228980685,1.5342222447548697,No,Flexible,10,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Not Found,Not Found,No Charge,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,2,2,Not Found,1,Not Found,Not Found,4,Apartment,
