Rating,Review
5,Emergency room volunteers and medical staff are all very professional and caring. ICU staff are caring and candid too. Hospital staff do their best to meet patient and family's wish. Giving us tip on how to care for the patient and items that they need to stay overnight.
5,This place is amazing! They treated my friend who speaks no Chinese so kindly and patiently and made sure that she had everything she needed during her stay. Also the food court is like no other hospital food court I have ever seen! I would totally recommend this hospital if you need to go to one.
5,"I have the privilege of being part of the Taipei Veterans General Hospital and it's world class service. It is a pioneer in medical treatment and has an unmatched medical service. Personally I have the honor to be part of the prestigious Orthopaedic Oncology team as visiting fellow and every day that goes by I continue to be amazed at the hard work and meticulous study of our patients. Taiwan is lucky to have such an wonderful hospital full of dedicated and hard working personnel, and I am truly blessed to be a part of it."
1,"went for a famous cardiovascular doctor for my varicose veins, only to find him acting like an arrogant salesperson. Very disappointed. I do not recommend Dr. Lai."
5,"I was lucky enough to find a good doctor here for my nose, they are professional,it¡¦s of patience, welling to listen and find out your problem, and one of the best is their food sections, didn¡¦t even felt like in hospital, very clean and they also have a cute little pawn, you¡¦ll see some duck and some other birds around. Plenty of space for parking, they also offer free shuttle bus from MRT to their hospital."
5,Good hospital and services. Renovations going on to continue improvement. Nice eating area on 1F.
5,"Excellent comprehensive hospital, that's more akin to a city with all and any services available inside. The staff are outstanding and professional. One of the best hospitals in Taipei."
1,Need to be super energetic to wait for their turn... How patients can be patient though? Surfing among the food providers then keep their brain buzzing with tons of adjective.
5,Was a medical student there. Excellent medical service by world class highly specialized teams!
4,"Great environment, doesn't look like it's a hospital. Not much parking space in the morning"
5,Nice service! Really good quality!!!strongly recommended!!!
5,Professional; however terrible traffic nearby.
5,Very good hospital!
4,Available store in here
2,"In the surgical referral, plastic surgery is performed on plastic surgery. Even if the director is given a knife, it is not recommended. The surgery will cause infection, and the wound will be red. On the day of the consultation, the patient will be hospitalized and listened to the debridement surgery. I am glad that the situation is not serious, the wound is not enlarged, and the meat can be kept. It¡¦s hard to imagine the torment, and the doctor only said faintly that I don¡¦t want to do this... What is even more bizarre is that after the hospitalization, the same situation is found in the next bed friend. The same doctor on the same day is even more suspicious and mixed. I did not expect that a small operation such as a lipoma in a large hospital would cause such a big nightmare. Originally it is 0 hearts, it will give 2 hearts, and one will give a few careful and patient caregivers. Even if it comes to support, it will make people feel embarrassed. Another heart is to give down the food street downstairs. There are many kinds of food to eat, there are also squid soup suitable for patients to eat, and fruit juice... Save the inconvenience of going out for food. There were more ants and cockroaches in the ward of the Zhongzheng Building."
1,"The emergency waiter is better at a better attitude. I know how busy people are, but I don't owe you money. Is this the tone? Ok, I will give you respect. I have to take a blood test for the urine. I havent said anything. I just ignored it. I have a fever and I am very faint. I will know clearly how to go? You are not allowed to go out to eat in the emergency department. Are you responsible for starving? If I didn't bring my family to starve to death, what is it, I am suffering from AIDS? Will it be transmitted to outside people? Could it be that you buy a lunch? What logic, the three armies are more than this, pull, joke, I want to seek to solve the problem but do this, the fever has been burned and ignored, everything comes by myself? I am not coming to the street, I am a patient, I will deal with serious illness first. Forget the little illness, at least come and care! Or give a fever, press it, it will burn up to 40 degrees. Is it a problem? Are you responsible? ? No matter what, if you have a fever, would you like someone to help? Other hospitals are going to deal with it once, once, once, here? We have to ask us to check it out. No matter whether you have a fever or not, you will not be given a fever medicine or help you to take your body temperature at any time. Then I will faint. There are so many differences with the private hospitals, you are very powerful, and there are not enough people to take care of the next few seconds, isn¡¦t it? Please give me an answer!"
5,"Gynecologist Hong Huancheng is very kind, patient and patient, and he is also very good at medical treatment. He can be considerate about any gynecological disease. Her personal care nurse, Ms. Lai Manrong, is more careful and often masters the details of the patient. When the doctor is not available, she rests her time to comfort the patient's physical condition and makes our patients feel warm. Thanks to my doctor Dr. Hong Huancheng and the specialist nurse, Ms. Lai Manrong. Another person who is warmer is a trainer, Miss Li Narong. She often touches all patients. In addition to caring for the patient to greet the patient carefully, she is willing to fight for any help to the patient. As long as the patient needs her, she also Can appear next to you, thank you all for your contribution"
